date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells,clipped_price_scenario_cells
2025-04-12,6,Sall,754.4156814499519,6814.4327675633085,8197.888546092685,7093.808572191377,3192.468038829005,5201.00990310003,0,0,49
2025-04-12,12,Sall,157.94248189449854,7348.655852096885,8824.653812680303,7645.787065390111,6440.078748405542,5201.00990310003,0,16,12
2025-04-12,18,Sall,1.3358203432289883e-12,5156.753926926606,6342.495752941742,5395.298707057173,10345.555284566515,5201.00990310003,0,4,0
2025-04-13,0,Sall,0.0,40289.65252143654,44803.848381913194,41196.356223874864,5201.00990310003,5201.00990310003,0,23,0
2025-04-13,6,Sall,2008.170076834665,26303.935070082942,32676.97412737235,27581.715744687295,9972.175201161917,5201.00990310003,0,0,0
2025-04-13,12,Sall,841.4385599035793,23486.742289353202,24839.436731406087,23775.400162824655,6366.868694581676,5201.00990310003,0,4,0
2025-04-13,18,Sall,30.406254410503493,14402.632197953671,16036.796092258388,14730.732691806443,10191.452628495876,5201.00990310003,0,3,0
2025-04-14,0,Sall,0.0,40132.271681595455,47928.29903509297,41695.43635128836,5201.00990310003,5201.00990310003,0,4,0
2025-04-14,6,Sall,5588.647655140449,26271.531615717435,30937.773274217474,27217.96730475435,9979.82583224714,5201.00990310003,0,0,0
2025-04-14,12,Sall,663.4090720759392,24087.021234653177,29143.96224837906,25100.254077689107,6055.113345318406,5201.00990310003,0,0,0
2025-04-14,18,Sall,11.757972388199391,13827.475279281256,15667.930555770568,14200.84214410138,10800.0,5201.00990310003,0,0,0
2025-04-15,0,Sall,0.0,36735.27697131063,40407.09393600409,37473.586042799325,5193.561348483397,5193.561348483397,0,0,0
2025-04-15,6,Sall,2554.272489653884,25736.007231118383,29841.73293248134,26560.344663704742,9956.733298869769,5193.561348483397,0,0,0
2025-04-15,12,Sall,3356.1304202066467,24047.10119810193,28586.60330732613,24956.685573416977,8101.232555630812,5193.561348483397,0,0,0
2025-04-15,18,Sall,57.43830390865048,13525.465767221018,15832.246548861765,13988.133356558381,10774.852004164366,5193.561348483397,0,0,0
2025-04-16,0,Sall,0.0,39472.16720619831,47081.24161819307,40997.84723072989,5193.561348483397,5193.561348483397,0,0,0
2025-04-16,6,Sall,4197.172285759449,29665.665789887236,32060.364762505164,30147.859791991417,9968.431434934053,5193.561348483397,0,3,0
2025-04-16,12,Sall,4139.404706772855,23323.514380633787,29928.22455549169,24646.213541481,7709.968761427748,5193.561348483397,0,8,0
2025-04-16,18,Sall,10.454123140338424,13459.181442741767,15297.692577752701,13828.196059616255,10760.457543997238,5193.561348483397,0,2,0
2025-04-17,0,Sall,0.0,35801.97150832119,38559.41567967167,36357.185322912286,5193.5613484833975,5193.5613484833975,0,4,0
2025-04-17,6,Sall,3714.8473490625215,28067.257047780313,35681.80858579184,29605.794025130057,9300.289814326092,5193.5613484833975,0,0,0
2025-04-17,12,Sall,1827.6018152655156,22544.59196163712,25040.942035488126,23058.14457335702,7229.900152210013,5193.5613484833975,0,3,0
2025-04-17,18,Sall,21.213934914772977,13868.613965351804,15787.183035261214,14258.84823856006,10800.0,5193.5613484833975,0,3,0
2025-04-18,0,Sall,0.0,14692.804721544102,17081.428015816105,15173.261229052669,5183.777838424532,5183.777838424532,0,5,0
2025-04-18,6,Sall,25.206561099240503,7872.726708149917,8953.144797187593,8091.37943902571,3233.2028230386964,5183.777838424532,0,0,0
2025-04-18,12,Sall,48.47334587306909,7867.99172014112,9442.194198241406,8184.8691550058475,4274.7634848607995,5183.777838424532,0,5,0
2025-04-18,18,Sall,21.241169160056245,6867.992308686486,7522.774445098745,7000.189514797362,9973.746671378713,5183.777838424532,0,0,0
2025-04-19,0,Sall,0.0,10066.764680196833,12050.270160824673,10466.292836780582,5183.777838424532,5183.777838424532,0,0,109
2025-04-19,6,Sall,17.845507729384963,5737.909282686535,6762.596544967761,5945.4115555414155,3212.448425185202,5183.777838424532,0,0,36
2025-04-19,12,Sall,396.05377052387706,6535.864734123371,8250.845155008783,6880.776366869716,5377.191790446315,5183.777838424532,0,3,12
2025-04-19,18,Sall,14.129704667945532,5434.329202396329,6578.775982396108,5664.452389226811,9942.86883096668,5183.777838424532,0,0,0
