date,issue_hour,strategy,changed_plan_kwh,expected_future_cost_yuan,cvar_future_cost_yuan,objective,soc_at_issue_kwh,terminal_target_kwh,clipped_load_scenario_cells,clipped_pv_scenario_cells
2025-03-09,12,S6_12,1557.1884972076796,29192.886463807783,29426.728358930857,29241.750182116477,6191.5328648503955,5599.859100655646,0,0
2025-03-10,0,S6_12,0.0,50708.65289639631,52748.82237487798,51120.84111556937,5599.8591006556435,5599.8591006556435,0,2
2025-03-10,6,S6_12,350.3502779658914,38310.85243210141,39056.30492570051,38463.50293266243,9887.7320399767,5599.8591006556435,0,2
2025-03-10,12,S6_12,242.23303683688425,30984.056278196596,31195.170706192795,31034.82262508323,6308.487591062405,5599.8591006556435,0,0
2025-03-11,0,S6_12,0.0,43367.447955988966,44724.950420317204,43643.09450932797,5587.676668703195,5587.676668703195,0,1
2025-03-11,6,S6_12,7426.676732226982,39641.83901005346,41707.35521925135,40060.62369181119,9907.722618920496,5587.676668703195,0,6
2025-03-11,12,S6_12,2778.4931730036187,29382.032537023733,30343.785092239403,29588.19392228659,7002.881854548082,5587.676668703195,0,2
2025-03-12,0,S6_12,0.0,49028.09067305821,51396.287769386036,49505.99945638563,5565.28256182884,5565.28256182884,0,15
2025-03-12,6,S6_12,6760.890955358251,33828.61030179692,34033.31417298673,33872.830206674196,9874.074074074075,5565.28256182884,0,0
2025-03-12,12,S6_12,1956.7929458215579,29852.67684206838,30706.1505633044,30031.791841657734,6751.853122068851,5565.28256182884,0,6
2025-03-13,0,S6_12,0.0,51322.31414673718,55129.01076172133,52087.76436849979,5553.119945867161,5553.119945867161,0,7
2025-03-13,6,S6_12,1683.529273743279,38906.61879220539,40892.56759944483,39343.34849360923,9944.818528794372,5553.119945867161,0,7
2025-03-13,12,S6_12,425.056678151965,29570.538745319944,30356.084969928383,29734.724090987635,7740.735113356892,5553.119945867161,0,0
2025-03-14,0,S6_12,0.0,13678.11627596837,14245.81489034284,13795.53217423957,5543.5487032178535,5543.5487032178535,0,0
2025-03-14,6,S6_12,506.0178190206507,8865.69771541695,9709.202567164355,9037.202600210792,5528.745786738161,5543.5487032178535,0,4
2025-03-14,12,S6_12,432.3299151397624,8303.922966186428,8530.737963169506,8351.105135798594,6621.850945114454,5543.5487032178535,0,1
2025-03-15,0,S6_12,0.0,13601.173111370146,14152.662799885524,13714.72406533924,5543.548703217852,5543.548703217852,0,1
2025-03-15,6,S6_12,1010.617679138134,8954.067901834998,10297.729716902264,9225.632219281517,5079.718758955296,5543.548703217852,0,2
2025-03-15,12,S6_12,864.9740045565298,8156.694710560842,8378.03343204607,8202.918778314259,6484.296314706759,5543.548703217852,0,0
2025-03-16,0,S6_12,0.0,47752.68125840961,49512.15146946499,48108.81764733565,5543.5487032178535,5543.5487032178535,0,2
2025-03-16,6,S6_12,1230.72530035376,37172.37443911824,38946.289352923115,37541.005757357845,9923.856771576942,5543.5487032178535,0,5
2025-03-16,12,S6_12,2123.6748458539237,30492.50592802551,31521.790069761908,30709.109793039424,7474.225883162883,5543.5487032178535,0,3
2025-03-17,0,S6_12,0.0,43720.99675058914,44905.99797222147,43961.91360315345,5527.0860793205475,5527.0860793205475,0,0
2025-03-17,6,S6_12,4766.204339774474,29745.770709144126,30461.05151319832,29903.23583006878,9874.074074074075,5527.0860793205475,0,0
2025-03-17,12,S6_12,1150.5349402914308,27597.791725574112,28007.183211005577,27681.521390153852,6649.8774318989435,5527.0860793205475,0,1
2025-03-18,0,S6_12,0.0,51336.85814653156,55069.1092979042,52087.48296007033,5527.086079320552,5527.086079320552,0,0
2025-03-18,6,S6_12,5236.899992600545,36878.626579165444,38842.3674520656,37274.81100489745,10800.0,5527.086079320552,0,0
2025-03-18,12,S6_12,2831.0445511921484,28535.016718880164,29003.655845467754,28634.83355703439,7010.537539347293,5527.086079320552,0,0
2025-03-19,0,S6_12,0.0,42051.68515058239,43472.92551423453,42340.00697850938,5519.188950687241,5519.188950687241,0,0
2025-03-19,6,S6_12,2159.769454384244,33116.324662452804,35834.246283183194,33663.29610811015,9891.385752445196,5519.188950687241,0,3
2025-03-19,12,S6_12,1194.613400169053,27661.120428743943,28822.479794665687,27895.36028159971,6488.262556356512,5519.188950687241,0,0
2025-03-20,0,S6_12,0.0,47922.78790726631,50841.67529916408,48510.80668224081,5519.188950687239,5519.188950687239,0,6
2025-03-20,6,S6_12,6807.508461363643,32761.07474872011,33221.202082130214,32867.71312459635,9874.074074074075,5519.188950687239,0,2
2025-03-20,12,S6_12,1535.9605516736126,29226.030795442293,29938.36179093053,29370.456764748495,6263.947124400149,5519.188950687239,0,2
2025-03-21,0,S6_12,0.0,12873.670936525197,13174.299489850962,12937.178363362822,5519.1889506872385,5519.1889506872385,0,0
2025-03-21,6,S6_12,562.8173018464266,7527.21734295813,7975.554352400639,7619.577706830371,4320.935438838861,5519.1889506872385,0,0
2025-03-21,12,S6_12,181.3455417847791,7403.849296351938,7896.85954003817,7504.299134460033,6344.693615361166,5519.1889506872385,0,0
2025-03-22,0,S6_12,0.0,13744.403161752569,14191.56422681336,13837.539678320401,5519.1889506872385,5519.1889506872385,0,1
2025-03-22,6,S6_12,175.81759398110972,8212.280028605055,8576.22286307898,8287.82614507187,4949.01242609027,5519.1889506872385,0,2
2025-03-22,12,S6_12,292.82364138681993,8199.304807000215,8811.253678595695,8323.588208501353,5877.548972224727,5519.1889506872385,0,0
2025-03-23,0,S6_12,0.0,47889.12626089901,51345.79839932844,48584.69332401415,5519.188950687238,5519.188950687238,0,0
2025-03-23,6,S6_12,1709.2046674617498,34375.884620214005,35340.992706675184,34572.439919475495,9874.074074074075,5519.188950687238,0,0
2025-03-23,12,S6_12,3156.7389464455155,27192.00382605466,28014.685726309635,27364.35138765265,6231.589805531441,5519.188950687238,0,0
2025-03-24,0,S6_12,0.0,44321.60001497133,46263.641553870344,44714.11387311591,5508.059072074777,5508.059072074777,0,0
2025-03-24,6,S6_12,2538.114564152498,33489.1613875254,34711.23710351306,33736.99452435627,9903.307755512542,5508.059072074777,0,0
2025-03-24,12,S6_12,2196.7228929309863,27545.861056553662,28037.56310407679,27646.119667049068,7114.371931717469,5508.059072074777,0,0
2025-03-25,0,S6_12,0.0,49810.12650526937,51900.67806877193,50232.42998463665,5508.059072074777,5508.059072074777,0,0
2025-03-25,6,S6_12,8604.418882541107,34222.458637182186,35149.5461543884,34424.913969305344,9920.28655275465,5508.059072074777,0,0
2025-03-25,12,S6_12,1279.6462523507118,28352.061013953444,28609.494569855346,28421.54136113997,6459.824993147246,5508.059072074777,0,0
2025-03-26,0,S6_12,0.0,43708.58477759387,45147.54507368496,44000.441766155855,5477.723152070844,5477.723152070844,0,0
2025-03-26,6,S6_12,995.8229551149108,31556.07590099121,32754.300428607276,31818.234817053148,9874.074074074075,5477.723152070844,0,0
2025-03-26,12,S6_12,3443.413328944561,27160.046298555124,28057.971599948145,27365.973580780555,6920.358027690805,5477.723152070844,0,0
2025-03-27,0,S6_12,0.0,45779.25638813118,47174.81541239744,46062.63638837057,5431.720869488167,5431.720869488167,0,0
2025-03-27,6,S6_12,3512.5948052145814,33762.03314124645,35377.351771631365,34118.732575375616,9874.074074074075,5431.720869488167,0,0
2025-03-27,12,S6_12,4012.6468972856246,26742.843344528927,27821.928523868646,26960.942442686908,7165.895066571728,5431.720869488167,0,0
2025-03-28,0,S6_12,0.0,13172.097978463413,13837.723804115712,13308.90991416688,5430.8424739839775,5430.8424739839775,0,0
2025-03-28,6,S6_12,1.6129320101754274e-12,7301.506902622936,7605.9346290964395,7365.147551624277,5561.039918238828,5430.8424739839775,0,0
2025-03-28,12,S6_12,49.47820495341563,7144.884402136885,7396.662121848751,7197.178746309153,5914.03275839539,5430.8424739839775,0,0
2025-03-29,0,S6_12,0.0,12457.60304610126,13069.692665136432,12583.38899179571,5430.842473983974,5430.842473983974,0,0
2025-03-29,6,S6_12,434.8524606271409,7319.530387916518,8592.086318644953,7576.858272834685,4474.059880218738,5430.842473983974,0,0
2025-03-29,12,S6_12,205.63358360294575,7270.118612668247,7506.018135857342,7319.264785017806,6379.340579226746,5430.842473983974,0,0
2025-03-30,0,S6_12,0.0,42876.325480323096,46667.311399481725,43638.42223092645,5430.842473983981,5430.842473983981,0,0
2025-03-30,6,S6_12,4606.204736436137,29028.56528527402,30039.148670728915,29233.961635723914,9896.789572191601,5430.842473983981,0,0
2025-03-30,12,S6_12,2682.5854677401057,24619.404303732368,24837.515144339075,24687.743703271146,6868.244471996764,5430.842473983981,0,0
2025-03-31,0,S6_12,0.0,39915.65779334694,42304.16147257014,40397.25148662868,5387.734620048748,5387.734620048748,0,0
2025-03-31,6,S6_12,6852.143979017039,35471.13491298652,39101.894582137145,36200.861888023115,9883.089109937866,5387.734620048748,0,0
2025-03-31,12,S6_12,5241.81551839318,26185.53424790592,27874.557197290058,26533.258014956966,7332.8780202975795,5387.734620048748,0,4
2025-04-01,0,S6_12,0.0,49219.54778637344,50557.11057922784,49491.31587125136,5372.52310254051,5372.52310254051,0,0
2025-04-01,6,S6_12,5628.428604246135,36637.601732403,38458.402656159415,37005.129242123534,9912.255879694534,5372.52310254051,0,0
2025-04-01,12,S6_12,3206.8109919212466,27474.85409432026,28637.10846438109,27715.61859013462,7103.771342757058,5372.52310254051,0,0
2025-04-02,0,S6_12,0.0,45588.8887406163,46497.58291955833,45774.6581976299,5360.427698107811,5360.427698107811,0,8
2025-04-02,6,S6_12,1280.7576190714835,34466.975850855546,36825.74915312186,34941.91788032433,9938.615712247469,5360.427698107811,0,0
2025-04-02,12,S6_12,2284.1824955438933,24474.364881049794,24769.743623775874,24538.051616569206,7875.183201838089,5360.427698107811,0,0
2025-04-03,0,S6_12,0.0,46533.44800186276,49503.583722490046,47132.01980606822,5355.063917719028,5355.063917719028,0,10
2025-04-03,6,S6_12,4151.773449531708,31909.57753461796,32527.0365947444,32036.456938871805,9927.826962425086,5355.063917719028,0,0
2025-04-03,12,S6_12,2147.9973151801487,26828.64567084556,27161.646506978057,26897.116218608462,6877.990657826483,5355.063917719028,0,0
2025-04-04,0,S6_12,0.0,12108.992936270304,12577.510654659205,12205.764442802641,5355.063917719028,5355.063917719028,0,0
2025-04-04,6,S6_12,137.21630706393205,6661.600645094634,6902.635436665823,6712.4807140594785,4262.183157898425,5355.063917719028,0,0
2025-04-04,12,S6_12,137.45501446848584,6768.688215581263,7109.648955073633,6838.666515665752,6689.709763557076,5355.063917719028,0,0
2025-04-05,0,S6_12,0.0,11883.042790882995,12316.92163351112,11973.01656816507,5355.06391771903,5355.06391771903,0,0
2025-04-05,6,S6_12,78.49937890509956,7124.689838548774,7724.963032028067,7247.482532408916,3587.5649748087094,5355.06391771903,0,0
2025-04-05,12,S6_12,35.739947284940435,6911.000827625994,7145.960799418089,6959.946984650543,6348.553313153703,5355.06391771903,0,0
2025-04-06,0,S6_12,0.0,42148.41246709654,45709.69916928671,42864.68547571971,5355.063917719033,5355.063917719033,0,0
2025-04-06,6,S6_12,4394.928432813015,28615.53279857239,29157.365294151838,28727.927193975047,9952.312626252848,5355.063917719033,0,12
2025-04-06,12,S6_12,680.6615955003832,25882.05358086159,26301.06892387093,25967.875925034034,5751.804610810748,5355.063917719033,0,4
2025-04-07,0,S6_12,0.0,37944.87768837308,42395.34850826499,38838.83666727073,5355.063917719033,5355.063917719033,0,0
2025-04-07,6,S6_12,2864.179059368068,28997.98676886172,31305.72622898714,29462.60159628359,9929.971713072731,5355.063917719033,0,12
2025-04-07,12,S6_12,2205.633113692536,24957.077219705796,26380.394470119536,25247.098502761968,8128.653503465209,5355.063917719033,0,0
2025-04-08,0,S6_12,0.0,42973.52245734306,47606.217714884704,43904.137892746054,5348.148583275364,5348.148583275364,0,11
2025-04-08,6,S6_12,3380.214431176144,29741.416076111087,30457.807721849236,29887.92191299896,9959.585107710689,5348.148583275364,0,4
2025-04-08,12,S6_12,2242.008658748516,25496.167526583955,25961.958245861664,25591.148236523968,6490.690734525233,5348.148583275364,0,0
2025-04-09,0,S6_12,0.0,44219.82280535397,47767.58496628545,44933.56699129699,5348.148583275361,5348.148583275361,0,0
2025-04-09,6,S6_12,288.0285020868194,32140.71347890635,34415.37888827739,32599.06694582994,9947.83177814142,5348.148583275361,0,0
2025-04-09,12,S6_12,2083.4239433756197,26951.645092493254,27279.04055143721,27019.056093990326,6497.961168189682,5348.148583275361,0,0
2025-04-10,0,S6_12,0.0,42283.52617066374,45100.48832879038,42851.11931148445,5348.14858327536,5348.14858327536,0,20
2025-04-10,6,S6_12,521.0459727368446,30359.269613953737,32180.16366006662,30726.70946046098,9943.32651457023,5348.14858327536,0,8
2025-04-10,12,S6_12,4010.8469030353854,25376.8157767901,25982.62548980217,25499.733149022744,7381.766945020167,5348.14858327536,0,0
2025-04-11,0,S6_12,0.0,11087.210339253395,11360.022119477058,11145.236580389876,5348.148583275359,5348.148583275359,0,0
2025-04-11,6,S6_12,511.22168731187185,6890.9337226652015,7480.984744450549,7011.600907406431,3091.202388306295,5348.148583275359,0,0
2025-04-11,12,S6_12,468.2897305198566,6082.572057522568,6380.359071034323,6143.970627320351,7044.3947659516625,5348.148583275359,0,0
2025-04-12,0,S6_12,0.0,11834.098620020894,12308.97726526989,11932.656588354112,5348.148583275362,5348.148583275362,0,0
2025-04-12,6,S6_12,758.715121019163,6853.766583835332,7163.326901916326,6920.298512194347,3243.9843632898446,5348.148583275362,0,0
2025-04-12,12,S6_12,203.5522955514072,6973.999032184163,7312.278520768235,7044.099299273946,2719.902214253088,5348.148583275362,0,16
2025-04-13,0,S6_12,0.0,40462.438238382194,42716.34435586282,40917.28507450823,5348.148583275362,5348.148583275362,0,23
