date,scenario,interval,L_scen_kwh,G_scen_kwh
2025-07-15,2,47,900.9379679730075,656.5160547254172
2025-07-15,2,48,1112.0945298814509,730.1221268949369
2025-07-15,2,49,1169.1673992825213,763.3484493390249
2025-07-15,2,50,1144.9624297061432,798.080722985672
2025-07-15,2,51,1114.2242166847152,846.3430034794126
2025-07-15,2,52,1113.9662245276147,881.2754980122445
2025-07-15,2,53,1152.8106066627656,899.648142711492
2025-07-15,2,54,1147.1296365793446,925.0385870987425
2025-07-15,2,55,1185.5316667059947,983.4232567371679
2025-07-15,2,56,1202.3061587793384,1065.4547103476316
2025-07-15,2,57,1188.5380918469186,1141.0258029074657
2025-07-15,2,58,1156.5823048359819,1183.0520846805334
2025-07-15,2,59,1161.9726961300344,1230.0156231809133
2025-07-15,2,60,1162.0615471649976,1285.114729345339
2025-07-15,2,61,1168.5479781434615,1308.6001151616153
2025-07-15,2,62,1210.8217862646054,1300.0431859511596
2025-07-15,2,63,1228.8346029775385,1275.5301074551514
2025-07-15,2,64,1141.7781965366814,1253.2605833481448
2025-07-15,2,65,1107.8629984548927,1238.9860896286873
2025-07-15,2,66,1165.6377263454033,1246.7005020869424
2025-07-15,2,67,1178.4927407807568,1281.3111796389603
2025-07-15,2,68,1195.7677928662465,1276.5742388408132
2025-07-15,2,69,1229.4529184423363,1237.5914073869403
2025-07-15,2,70,1217.7468684472167,1242.1287302857806
2025-07-15,2,71,1145.102238213592,1286.7422001721482
2025-07-15,2,72,1083.1364804537905,1351.7254752663712
2025-07-15,2,73,1110.729910838097,1408.9342812382683
2025-07-15,2,74,1130.628573483656,1399.8005369947832
2025-07-15,2,75,1084.4788886393135,1337.2701662557013
2025-07-15,2,76,1100.381182735288,1294.8089955063544
2025-07-15,2,77,1161.4879339959186,1274.4903021532793
2025-07-15,2,78,1241.670411730827,1249.8932540456171
2025-07-15,2,79,1207.4846976809906,1201.1654171306382
2025-07-15,2,80,1158.5291813146991,1166.814718664204
2025-07-15,2,81,1157.1274016317368,1178.7946802810525
2025-07-15,2,82,1170.81412427328,1226.4438881562498
2025-07-15,2,83,1188.0937445279394,1217.08124726181
2025-07-15,2,84,1203.9752164967563,1165.4253365365525
2025-07-15,2,85,1208.1492729434237,1168.4053361116016
2025-07-15,2,86,1223.4752988384737,1166.1586160126917
2025-07-15,2,87,1230.3740224315493,1119.200375997425
2025-07-15,2,88,1201.2009102046982,1058.654560582359
2025-07-15,2,89,1187.9982577279607,1048.2956270260488
2025-07-15,2,90,1193.68573771302,1058.2453075893504
2025-07-15,2,91,1176.533888017103,995.112021424315
2025-07-15,2,92,1181.1520060902785,920.9652630535234
2025-07-15,2,93,1209.3901275587566,872.111954769646
2025-07-15,2,94,1232.2455178440537,827.3653478207489
2025-07-15,2,95,1231.6338056447319,790.5355897986527
2025-07-15,2,96,1208.735295641834,751.1257640665266
2025-07-15,2,97,1209.6311332216446,692.5074570465547
2025-07-15,2,98,1221.4871049830629,643.4189763306645
2025-07-15,2,99,1229.0714549830627,608.8086792157151
2025-07-15,2,100,1251.4338995911517,564.0037750704957
2025-07-15,2,101,1251.0152433410199,508.600366405916
2025-07-15,2,102,1224.0591744350463,453.5721117799875
2025-07-15,2,103,1214.7682597647604,409.72740410859103
2025-07-15,2,104,1239.001864572034,367.7036697026215
2025-07-15,2,105,1243.7868930980935,320.0189737572123
2025-07-15,2,106,1201.0925624008291,268.57101051412235
2025-07-15,2,107,1169.5230776080434,223.74208168271886
2025-07-15,2,108,928.2948223415884,181.45649325132945
2025-07-15,2,109,871.0360756215434,141.14064122316896
2025-07-15,2,110,942.0132645410005,104.464622288738
2025-07-15,2,111,997.056911962163,71.02947465633162
2025-07-15,2,112,992.6360733969257,38.40381500615649
2025-07-15,2,113,990.5295061932358,10.807620561960242
2025-07-15,2,114,1002.0010438804891,0.0
2025-07-15,2,115,980.5074089637767,0.0
2025-07-15,2,116,955.738765209477,0.0
2025-07-15,2,117,985.1073932428284,0.0
2025-07-15,2,118,968.3548596404228,0.0
2025-07-15,2,119,991.820653528581,0.0
2025-07-15,2,120,1020.1648896908023,0.0
2025-07-15,2,121,982.6148971370676,0.0
2025-07-15,2,122,997.9432521114394,0.0
2025-07-15,2,123,1062.1978582511456,0.0
2025-07-15,2,124,1039.1097166582995,0.0
2025-07-15,2,125,976.5420062477026,0.0
2025-07-15,2,126,936.969324771915,0.0
2025-07-15,2,127,1005.920951354936,0.0
2025-07-15,2,128,1016.7101749038168,0.0
2025-07-15,2,129,992.6212219879153,0.0
2025-07-15,2,130,1042.9898109874196,0.0
2025-07-15,2,131,958.7336743360288,0.0
2025-07-15,2,132,783.7517279569079,0.0
2025-07-15,2,133,734.6468412429876,0.0
2025-07-15,2,134,747.3302629247694,0.0
2025-07-15,2,135,729.6705161671522,0.0
2025-07-15,2,136,736.7507592212398,0.0
2025-07-15,2,137,755.1783809171013,0.0
2025-07-15,2,138,776.0811105449084,0.0
2025-07-15,2,139,801.4067484417957,0.0
2025-07-15,2,140,798.7369461297658,0.0
2025-07-15,2,141,743.8915728380025,0.0
2025-07-15,2,142,729.5287528781021,0.0
2025-07-15,2,143,760.0460100188079,0.0
2025-07-15,2,144,792.7159178670371,0.0
2025-07-15,3,1,694.8039561428579,0.0
2025-07-15,3,2,725.9535127637274,0.0
2025-07-15,3,3,755.570674634011,0.0
2025-07-15,3,4,733.6735440590166,0.0
2025-07-15,3,5,712.1672728270761,0.0
2025-07-15,3,6,708.7757476152366,0.0
2025-07-15,3,7,753.3426219969167,0.0
2025-07-15,3,8,756.7288549555668,0.0
2025-07-15,3,9,753.8143448365406,0.0
2025-07-15,3,10,772.4058050170075,0.0
2025-07-15,3,11,771.8776965966027,0.0
2025-07-15,3,12,745.1491801843148,0.0
2025-07-15,3,13,734.0650013062598,0.0
2025-07-15,3,14,729.3312922538644,0.0
2025-07-15,3,15,680.3336086873636,0.0
2025-07-15,3,16,704.4940039211627,0.0
2025-07-15,3,17,746.230788345715,0.0
2025-07-15,3,18,777.7566359993244,0.0
2025-07-15,3,19,717.6088862537296,0.0
2025-07-15,3,20,701.7908638882874,0.0
2025-07-15,3,21,738.9699394377292,0.0
2025-07-15,3,22,716.0622376139988,0.0
2025-07-15,3,23,748.9636805740474,0.0
2025-07-15,3,24,784.1140892901923,0.0
2025-07-15,3,25,682.6986730164359,0.0
2025-07-15,3,26,641.4977903335133,0.0
2025-07-15,3,27,687.7852410586601,0.0
2025-07-15,3,28,701.4878381276726,0.0
2025-07-15,3,29,760.8920255456668,0.0
2025-07-15,3,30,787.0127520906908,0.0
2025-07-15,3,31,711.0343923865651,15.118443395270582
2025-07-15,3,32,648.5866383147124,47.976241309779
2025-07-15,3,33,707.4542143062466,82.38201407845334
