day_index,date,s0,E_C,CVaR,cost_plan,cost_emergency,cost_total,emergency_rate,unextracted_ratio,curtailment_rate,soc_violate_count,residual_blocks,emergency_kwh,load_kwh,curtail_kwh,unextracted_kwh,final_soc,settlement_method,primary_emergency_cost,secondary_status,emergency_cost_gap,cost_tolerance,dev_c,dev_r
178,2025-06-28,2020.4278209879649,21702.64319039923,23724.6841434712,20463.281193324787,1380.7593929471432,21844.04058627193,0.0048745429337771,0.0811381733677327,0.1644877446440737,0,30,393.18829971958974,80661.5728,9685.802727104636,2939.880305654573,2012.0108628618243,causal_sequential_plan_bounded,1380.7593929471432,0,0.0,0.0,725.8863438843994,1318.7777151220043
179,2025-06-29,2012.0108628618243,55281.34944649748,67201.24177500495,53539.70374686377,1706.099649690282,55245.80339655405,0.0034570359749996,0.1384665157023738,0.0135760203524388,0,30,436.9168304269671,126384.80871666668,775.4221000000003,11712.363953329628,1892.8638166911103,causal_sequential_plan_bounded,1706.099649690282,0,0.0,0.0,6085.843470118473,5553.110645817962
180,2025-06-30,1892.8638166911103,55973.449226285935,70002.94256763897,53858.72234541763,2657.320109203707,56516.04245462133,0.0058733754436949,0.1451747762993511,0.0032919614701646,0,30,739.7358999133237,125947.32058333332,184.57908333333276,12356.889464939084,1857.0387984241825,causal_sequential_plan_bounded,2657.320109203707,0,0.0,0.0,5468.244266544431,5020.612774482754
181,2025-07-01,1857.0387984241825,54854.04609030064,66008.92566449125,52648.93275888882,16579.75768725219,69228.690446141,0.032078360477341,0.0664626024169573,0.0120923374957372,0,30,4540.590912949041,141546.85106666666,757.9514269835017,5555.389066040821,1203.2771653576729,causal_sequential_plan_bounded,16579.75768725219,0,0.0,0.0,3913.939104651556,3173.24012358966
182,2025-07-02,1203.2771653576729,64582.19963860445,70966.7375293134,62080.45794660864,569.4891205696656,62649.94706717831,0.0016207564138754,0.1808295738733717,0.0424348646708048,0,30,228.84863093527545,141198.65821666666,2898.0420584973326,17438.17696557286,1664.1691845284383,causal_sequential_plan_bounded,569.4891205696656,0,0.0,0.0,8477.574329185052,7284.587472715486
183,2025-07-03,1664.1691845284383,55317.07598304139,64603.30816001542,52542.26867212457,13323.531219926042,65865.7998920506,0.0198628883280672,0.0318589737186687,0.0050666700674636,0,30,2811.900484976585,141565.53863333334,313.1461499999998,2667.165134895343,1628.2372748522148,causal_sequential_plan_bounded,13323.531219926042,0,0.0,0.0,1034.772567320765,1223.5793268968098
184,2025-07-04,1628.2372748522148,27925.50942841976,33814.72293450443,26335.191268541203,6186.190842126809,32521.38211066801,0.0233319846433781,0.055157334161709,0.1808454043962652,0,30,2235.0890029904003,95795.06574999998,12101.125248401291,2402.8761619216,1647.8289833677602,causal_sequential_plan_bounded,6186.190842126809,0,0.0,0.0,804.7522285182037,1054.8953901307286
185,2025-07-05,1647.8289833677602,26836.66672556858,28900.841355103363,25803.085823925947,4051.726735227112,29854.81255915306,0.0084483912114595,0.0638766739943145,0.1704236123861017,0,30,809.9712157868686,95872.8349,11432.48542455025,2847.422909185132,1507.8012457944094,causal_sequential_plan_bounded,4051.726735227112,0,0.0,0.0,1119.4655033779843,1183.7881789511362
186,2025-07-06,1507.8012457944094,56786.77464048504,64084.41196361581,54676.49825109277,13380.970262701883,68057.46851379465,0.0197562171634539,0.070433331706151,0.009655682504172,0,30,2790.458489945089,141244.57465,593.3474166666663,6138.782314447927,1277.5866061015904,causal_sequential_plan_bounded,13380.970262701883,0,0.0,0.0,2650.190691690311,2216.48240576058
187,2025-07-07,1277.5866061015904,58606.13386205503,66158.17959647947,56467.506788088605,2283.7498547928194,58751.256642881424,0.0042991337880244,0.1207512204426946,0.0341998738212993,0,30,608.3076298401063,141495.39415,2328.529578318169,10764.79167336024,1395.775100662464,causal_sequential_plan_bounded,2283.7498547928194,0,0.0,0.0,6553.14840549534,5484.247799047447
188,2025-07-08,1395.775100662464,64257.82196377244,75066.9485967814,61338.22536377168,729.2350299816947,62067.460393753376,0.0011385143217568,0.1451432956526912,0.0357819929355152,0,30,160.8552543921652,141285.227,2351.3721580492097,13964.353654222905,2295.1867473871957,causal_sequential_plan_bounded,729.2350299816947,0,0.0,0.0,3093.970630716657,3491.7842835289703
189,2025-07-09,2295.1867473871957,61309.96066915782,71117.55070411583,58690.75502486454,217.296761889696,58908.05178675424,0.0003499102314537,0.1266097853610466,0.0361685222903474,0,30,49.19412611513411,140590.70496666664,2406.3633998425244,11554.28926789928,2265.1225063583943,causal_sequential_plan_bounded,217.296761889696,0,0.0,0.0,4572.299764419405,4662.173064902272
190,2025-07-10,2265.1225063583943,59389.13843186819,69947.51630560997,56562.34877863443,421.6847569306128,56984.03353556504,0.001055994037239,0.1190267945016576,0.031562944269608,0,30,148.3286630654731,140463.54225,2133.968101261323,10506.9387194336,1703.0049021063426,causal_sequential_plan_bounded,421.6847569306128,0,0.0,0.0,3624.6421392195134,3388.664544663513
191,2025-07-11,1703.0049021063426,31567.26166172689,37210.45652684872,30210.763209116398,125.86169174483275,30336.62490086123,0.0005030008361654,0.149350488287014,0.1072147299334482,0,30,47.65484668442025,94741.0884,6671.148296503709,7415.130588052193,2341.5469162339373,causal_sequential_plan_bounded,125.86169174483275,0,0.0,0.0,537.2860737258084,1462.5939443284497
192,2025-07-12,2341.5469162339373,27865.57113358961,29983.52411179742,26500.250642901177,710.2250290802015,27210.475671981378,0.0024263271924398,0.0627577858535463,0.1357198786289544,0,30,231.27355573900388,95318.3711,8717.848024328749,2756.8779971273407,1568.8178113461545,causal_sequential_plan_bounded,710.2250290802015,0,0.0,0.0,713.8701248275017,910.1708313218152
193,2025-07-13,1568.8178113461545,57544.12882873204,68815.7117771356,55507.4189018785,508.4713080245141,56015.89020990302,0.0009016515156048,0.1197251369341868,0.052756706671388,0,30,126.1350659127602,139893.36648333335,3725.9764938956814,10427.843600772914,1851.7518243728664,causal_sequential_plan_bounded,508.4713080245141,0,0.0,0.0,3359.4637723759533,3307.742297560102
194,2025-07-14,1851.7518243728664,56533.04834325645,65279.71945637723,54104.302825412975,501.3875915741465,54605.69041698712,0.0007157701432301,0.1034036224205202,0.0267608716790483,0,30,100.9682710491291,141062.42346666666,1853.3173240395577,8834.523348014838,1509.8958800878888,causal_sequential_plan_bounded,501.3875915741465,0,0.0,0.0,4113.690856627911,3610.995885947712
195,2025-07-15,1509.8958800878888,61637.45667270923,71549.80766411495,58958.90172401567,232.60588409389996,59191.50760810957,0.0003653146401442,0.1495715848668453,0.0280711918038652,0,30,50.97789088344729,139545.16266666667,1875.046474043732,13802.416985489735,2283.2141050310083,causal_sequential_plan_bounded,232.60588409389996,0,0.0,0.0,5402.968922339906,5351.29752162323
196,2025-07-16,2283.2141050310083,55553.36702807352,61915.58606506496,53595.63269742792,2626.112656859334,56221.74535428725,0.0051817549441209,0.0911248880122496,0.0352584294887549,0,30,727.3384078829398,140365.26538333332,2405.707395435251,7690.702962676831,1772.0308841907008,causal_sequential_plan_bounded,2626.112656859334,0,0.0,0.0,4041.4747314684273,3788.4223282610574
197,2025-07-17,1772.0308841907008,56615.07921143167,66966.13308760019,54233.22569470824,3227.6986613932704,57460.9243561015,0.0053727560644827,0.0937162664014815,0.0314915877609487,0,30,749.8710469542827,139569.15928333334,2105.1730637167875,8044.344147814434,1710.8523864374613,causal_sequential_plan_bounded,3227.6986613932704,0,0.0,0.0,2244.6288086074583,2277.9164827657555
198,2025-07-18,1710.8523864374613,29746.573819055524,30903.66294145044,28842.74662557525,84.36114194396225,28927.107767519217,0.0002235508062964,0.1248175794394151,0.123320235929764,0,30,20.94627981228105,93698.0732,7698.120838970328,5966.184727168117,2265.374893379639,causal_sequential_plan_bounded,84.36114194396225,0,0.0,0.0,1450.9987010415443,2134.146351885327
199,2025-07-19,2265.374893379639,29528.26742460916,35209.33949061015,28256.682657425416,37.58877376754356,28294.27143119296,0.0001859183360764,0.0988906026458334,0.1885758502161671,0,30,17.581278656474765,94564.52240000002,12706.56199823981,4596.292745506964,2103.494568035542,causal_sequential_plan_bounded,37.58877376754356,0,0.0,0.0,1702.3496482398064,2192.048326306235
200,2025-07-20,2103.494568035542,56774.605957583866,64077.114203811165,54576.046910347766,1782.1548154288762,56358.20172577664,0.0032499865462535,0.1041230305116821,0.0265457125946702,0,30,450.9373842771008,138750.53876666666,1769.5520817599167,8926.414468583022,2027.7264898907963,causal_sequential_plan_bounded,1782.1548154288762,0,0.0,0.0,3543.0853214888657,3614.852951307693
201,2025-07-21,2027.7264898907963,58464.84451262221,65257.747246078776,55761.74945570037,1485.791658130228,57247.54111383059,0.0023687938318016,0.1052554413505597,0.0250708772667478,0,30,327.94249759946206,138442.8198,1615.895018717005,9288.354139070052,2074.4597726924867,causal_sequential_plan_bounded,1485.791658130228,0,0.0,0.0,2496.1250508664702,2808.87508662508
202,2025-07-22,2074.4597726924867,58487.21935740658,66862.20880009115,55685.62414007283,2436.658540514648,58122.28268058748,0.0038554462214159,0.1203943374924772,0.0140806270263525,0,30,537.8920352561022,139514.85881666664,925.3747839286824,10591.194673642618,1807.2559212308645,causal_sequential_plan_bounded,2436.658540514648,0,0.0,0.0,3047.66615743912,3015.139916633457
203,2025-07-23,1807.2559212308645,58457.69432439344,68312.19870271022,55931.64274547478,2317.530762571172,58249.17350804596,0.0036814303432022,0.0941569606447958,0.0361754081006203,0,30,513.3755852396883,139450.03365,2359.847997169657,8301.085373808872,1971.42760695702,causal_sequential_plan_bounded,2317.530762571172,0,0.0,0.0,2192.720377335346,2470.3883519029496
204,2025-07-24,1971.42760695702,57149.2280323328,64880.945654405295,54795.69883015868,2842.3752923155253,57638.07412247421,0.0046807436805452,0.1024316971324869,0.0215413505847887,0,30,650.1656768548554,138902.21751666663,1406.3431323638144,8848.221131316997,1745.1316619495328,causal_sequential_plan_bounded,2842.3752923155253,0,0.0,0.0,4103.747736404015,3814.654162241828
