date,cost_plan_R1,cost_plan_R2,diff,cost_emergency
2025-07-11,29724.23452055623,36293.382673776956,-6569.148153220725,1875.4767091939816
2025-07-12,26356.433211001255,25885.21997215565,471.2132388456048,891.9403457462314
2025-07-13,64491.735921338375,66911.39157015528,-2419.655648816901,588.4853161119488
2025-07-14,63812.57549731795,64664.51418285191,-851.9386855339617,641.0948210649512
2025-07-15,69721.08094060182,69722.94944222647,-1.8685016246454325,763.9315596183858
2025-07-16,64167.86958224974,63335.31468986963,832.5548923801107,2471.854118111522
2025-07-17,64888.01139945197,64782.21907628287,105.79232316910202,3091.0766741095567
2025-07-18,27725.17732590489,34516.48573622807,-6791.308410323178,135.58715468565904
2025-07-19,27674.79177402233,27639.61491947499,35.17685454734237,39.259948716559926
2025-07-20,64758.111510121045,63652.552315297726,1105.5591948233196,2353.417277011845
2025-07-21,68271.92295755575,67233.33393035646,1038.5890271992976,1305.8799773673984
2025-07-22,65970.4379950464,65641.87757183582,328.5604232105834,2092.8257351732805
2025-07-23,67346.68224120239,67127.35147199288,219.33076920951135,2179.7303226733893
2025-07-24,65191.46870475906,64785.42311500668,406.04558975238615,3559.9575535282615
2025-07-25,25969.04990864203,32103.811648658928,-6134.7617400168965,298.52911438376304
2025-07-26,25679.51596181844,25068.83499238327,610.6809694351723,824.135257012181
2025-07-27,61741.97160803153,60940.589053588395,801.3825544431311,5707.869769401498
2025-07-28,66798.61286794524,66277.19996434872,521.4129035965161,4585.657403209445
2025-07-29,69633.77050458983,69770.07762425844,-136.3071196686069,1154.4156828929886
2025-07-30,65142.457624908544,64368.49355753401,773.9640673745307,1861.1624894337324
2025-07-31,67901.28333819567,68469.23965991448,-567.9563217188115,797.2742386491003
2025-08-01,25003.785947523415,25251.68895178746,-247.90300426404428,631.6132007208587
2025-08-02,25035.449207181227,25131.108540801964,-95.65933362073702,306.0604035733255
2025-08-03,59032.508773775975,60691.510459814344,-1659.0016860383694,2458.6826217489343
2025-08-04,54352.35204861133,52099.381284175244,2252.9707644360824,3489.6180198046095
2025-08-05,56200.79854088345,54110.55898778992,2090.239553093532,1467.952587363513
2025-08-06,55992.016741650186,55061.9556256397,930.0611160104891,9787.823324215045
2025-08-07,55207.45293444075,55498.28153245528,-290.82859801453014,2485.6559710987185
2025-08-08,22903.467109427256,28490.592112965136,-5587.12500353788,825.2190935827205
2025-08-09,22441.24027175104,22245.93337519223,195.30689655880997,2224.11499093527
2025-08-10,56749.59676916251,54971.269735903756,1778.3270332587563,2033.6908131317546
2025-08-11,53737.084239967946,54266.838525642954,-529.7542856750078,4407.7143356258875
2025-08-12,54698.67232798708,53847.2201466962,851.4521812908788,9731.122157609641
2025-08-13,55902.13178602645,55829.06374365345,73.06804237300094,3295.7862516925834
2025-08-14,55328.89604482014,55082.02001247725,246.8760323428869,4376.662432212157
2025-08-15,23106.97102421496,28211.68208441724,-5104.71106020228,1265.6924950692246
2025-08-16,23387.196080980033,23316.957140939463,70.23894004057001,1640.8424559885093
2025-08-17,54477.85043374128,55270.373327529465,-792.5228937881839,2780.4522560452533
2025-08-18,54659.590354812826,54307.70426981135,351.8860850014753,3704.1912393377643
2025-08-19,55444.57924517979,55104.848882027596,339.7303631521936,3200.035832839034
2025-08-20,55752.88673026764,54662.21982252298,1090.6669077446568,12698.641280821597
2025-08-21,62667.73229268406,63241.83219189971,-574.0998992156528,1239.7866436350123
2025-08-22,23267.543125415228,28218.59258468594,-4951.049459270711,3222.769474806353
2025-08-23,23994.78919025622,24267.765670117402,-272.9764798611832,335.4598304569182
