date,i,n_pool,max_block_day,trunc_load,trunc_pv,trunc_price,mean_abs_dev_load,mean_abs_dev_pv,mean_abs_dev_price,cold_start
2025-04-16,105,30,104,0,1341,0,4.470768396507846,5.933397709508861,0.023933106317776065,0
2025-04-17,106,30,104,0,1810,0,3.6423194367784837,4.654342517619011,0.016663142522005434,0
2025-04-18,107,30,106,0,1345,0,4.464464693386786,6.022139333372179,0.009295240029806461,0
2025-04-19,108,30,106,0,1710,40,4.051561506267802,4.93179137673819,0.013444831369325262,0
2025-04-20,109,30,107,0,1306,0,3.422255451300564,7.088785707375672,0.008473914011635303,0
2025-04-21,110,30,106,0,520,0,3.904093628481384,6.076088991184105,0.02782993714392226,0
2025-04-22,111,30,107,0,536,0,3.969399089272559,9.20782025680773,0.013444103518953109,0
2025-04-23,112,30,111,0,803,0,3.951825158231209,5.380792959950865,0.036712790573722856,0
2025-04-24,113,30,112,0,1243,0,3.5606937739649447,3.0567145035666705,0.03335727264165266,0
2025-04-25,114,30,111,0,1249,0,3.342431538392684,5.005517039277712,0.031450291583610644,0
2025-04-26,115,30,114,0,1006,53,4.471618684554158,7.141886648317235,0.03546951717997082,0
2025-04-27,116,30,115,0,689,0,3.465590600214413,7.1696549702352605,0.06000828876978511,0
2025-04-28,117,30,116,0,0,0,3.9122820513893797,6.596531842616295,0.03345819376980472,0
2025-04-29,118,30,117,0,515,0,3.0641631621366696,4.880038875098748,0.04073881215755394,0
2025-04-30,119,30,118,0,910,0,4.580216095080464,10.694774379174085,0.02030527299255632,0
2025-05-01,120,30,118,0,1445,0,3.2188712218484703,6.424816188211764,0.028674610606339974,0
2025-05-02,121,30,118,0,1254,38,3.5338247447401407,4.727877492293477,0.02641243144252955,0
2025-05-03,122,30,121,0,1687,38,4.140816140897844,10.953937021724919,0.0296332453686762,0
2025-05-04,123,30,121,0,1766,0,3.905393494508632,5.875624569934688,0.049088774944804764,0
2025-05-05,124,30,123,0,1002,0,5.243786001814073,7.966994329267793,0.029344597035354122,0
2025-05-06,125,30,124,0,1350,0,4.2920870611009985,4.980966321831974,0.02704514061719363,0
2025-05-07,126,30,124,0,1227,0,5.541637072412728,6.004075760309878,0.026700349839683654,0
2025-05-08,127,30,126,0,1194,0,5.12184067590021,4.545662778279434,0.03582808038531857,0
2025-05-09,128,30,126,0,1228,33,5.442721272442205,4.014415592155858,0.02707457796186763,0
2025-05-10,129,30,127,0,1444,38,5.012233695330455,7.706415024886998,0.01875857186211222,0
2025-05-11,130,30,128,0,1219,0,3.538406529547041,4.882572216904964,0.028696351709069454,0
2025-05-12,131,30,130,0,1730,0,4.351703146466149,7.865769721453901,0.01845731383836753,0
2025-05-13,132,30,131,0,908,0,4.821648256548555,3.7866388570204674,0.012352392329827877,0
2025-05-14,133,30,131,0,825,0,5.342918702771451,7.31905954846179,0.014040251905639437,0
2025-05-15,134,30,133,0,1307,0,4.427575197428226,4.356132026226965,0.0233269016080402,0
2025-05-16,135,30,134,0,1346,43,4.316915057578844,5.303993848232279,0.029800104082972234,0
2025-05-17,136,30,135,0,1319,20,3.97731947853819,5.051924296444728,0.011392664149542236,0
2025-05-18,137,30,136,0,1753,0,4.3157570679902975,12.61629386766308,0.016198294242672027,0
2025-05-19,138,30,136,0,337,0,4.730655314921615,4.266243304978811,0.013345847872907511,0
2025-05-20,139,30,136,0,587,0,4.050987081527774,5.524138815778194,0.012224432969321509,0
2025-05-21,140,30,137,0,736,0,5.46136229429643,8.088588695704951,0.016109807293128203,0
2025-05-22,141,30,140,0,1070,0,4.773892616523702,5.816762991047284,0.012538704306308506,0
2025-05-23,142,30,140,0,1592,0,7.87763234975486,13.314527563994375,0.014250455259461281,0
2025-05-24,143,30,141,0,1643,11,4.342552162240574,4.21573688877516,0.011089667790842223,0
2025-05-25,144,30,143,0,1464,0,5.227538161623736,5.496164673006014,0.012856379555302975,0
2025-05-26,145,30,144,0,346,0,3.8018199912496535,6.926189212949968,0.010002021004370596,0
2025-05-27,146,30,145,0,940,0,5.3955725807323605,9.877173057281242,0.011167771208061969,0
2025-05-28,147,30,146,0,756,0,4.061137748907511,6.032891925136969,0.012704834820406083,0
2025-05-29,148,30,147,0,1181,0,4.335837428431295,6.9628695901964806,0.01071283648413006,0
2025-05-30,149,30,148,0,1489,9,4.523637503982395,7.986322307274037,0.010991886502459235,0
2025-05-31,150,30,147,0,1371,0,4.349755815921971,5.696138694627351,0.011456349771283753,0
2025-06-01,151,30,149,0,1217,0,5.203037951839101,12.371945336892914,0.016224642945041515,0
2025-06-02,152,30,151,0,999,0,4.1368087537852425,3.6237447209383555,0.009421996482641646,0
2025-06-03,153,30,152,0,1311,0,4.328381122617934,7.916304968436318,0.011168180379862587,0
2025-06-04,154,30,153,0,1159,0,4.131861922125452,6.853586204655875,0.009320736519593573,0
2025-06-05,155,30,154,0,1243,0,4.953514862188744,6.250022652163397,0.009901771162565388,0
2025-06-06,156,30,154,0,848,0,4.829893375761892,6.079706487494422,0.01117195619196316,0
2025-06-07,157,30,155,0,1158,0,5.8838546275142125,5.281036905960267,0.011780656040545243,0
2025-06-08,158,30,156,0,977,0,8.504024043840367,12.243977739281961,0.012816630330877625,0
2025-06-09,159,30,158,0,759,0,4.55159768797811,7.793481893908787,0.007993442388776965,0
2025-06-10,160,30,159,0,633,0,7.436500463363334,6.110044103173171,0.010727146033043821,0
2025-06-11,161,30,160,0,824,0,4.830946864987814,9.314081211482115,0.009856145074979273,0
2025-06-12,162,30,161,0,816,0,4.367190125374922,5.602535571983542,0.007992023529802618,0
2025-06-13,163,30,161,0,265,0,6.695622973055395,7.17186332281572,0.018305606441136393,0
2025-06-14,164,30,163,0,824,0,4.923789141521925,5.206097552543101,0.009940558784408995,0
2025-06-15,165,30,164,0,725,0,7.495708994756638,9.824508617080504,0.01092014981239526,0
2025-06-16,166,30,165,0,885,0,4.917219562961285,10.26637567155724,0.018349441240627422,0
2025-06-17,167,30,166,0,534,0,5.511302947064917,6.6320485181229545,0.011269020720702773,0
2025-06-18,168,30,166,0,480,0,6.712287358615153,7.427576065019045,0.014596975985789858,0
2025-06-19,169,30,168,0,420,0,4.861140608776183,6.534664452710576,0.00999433139659022,0
2025-06-20,170,30,168,0,204,0,5.507243853662724,8.491836720620231,0.012098839146822618,0
2025-06-21,171,30,169,0,0,3,4.590789599518914,5.515454837002841,0.011290920671620049,0
2025-06-22,172,30,171,0,0,0,6.449091021936171,8.885056586527607,0.017013509710568094,0
2025-06-23,173,30,172,0,670,0,6.21846737184566,8.82254296334494,0.010031193922107048,0
2025-06-24,174,30,173,0,237,0,5.752912361049502,11.464429809820802,0.008727747385011352,0
2025-06-25,175,30,174,0,658,0,4.925005544657839,8.872510806930778,0.013169997745236799,0
2025-06-26,176,30,173,0,483,0,5.8801281810183665,10.429449841634167,0.012189259208716935,0
2025-06-27,177,30,176,0,363,0,7.052177863230622,8.858460018126161,0.028884223351862432,0
2025-06-28,178,30,176,0,273,0,5.504052997567347,5.134905651394989,0.011255308970589989,0
2025-06-29,179,30,178,0,86,0,5.4236588876021194,8.50020923368843,0.010995057290575322,0
2025-06-30,180,30,179,0,423,0,4.819799120406992,7.320045738498266,0.012758006519171567,0
2025-07-01,181,30,179,0,119,0,5.485203964936041,7.509792666556016,0.012786044804506503,0
2025-07-02,182,30,180,0,362,0,5.013178188418098,6.9908486319659815,0.03756528171674652,0
2025-07-03,183,30,182,0,58,0,5.171626597804828,8.472776829245724,0.05146466160312059,0
